name,city,city_id,locality,cuisines,average_cost_for_two,currency,price_range_Rs,rating_text,votes,delivery,aggregate_rating
Baba Dhaba & Restaurant,Allahabad,24,Naini,North Indian,600,Rs.,3000,NaN,1,Yes,NaN
Kamla Bhojanalaya,Allahabad,24,Leader Road,North Indian,200,Rs.,1000,NaN,2,Yes,NaN
Jaggannath Marwari Bhojanalaya,Allahabad,24,Leader Road,Indian,150,Rs.,1000,NaN,0,Yes,NaN
Pradhan Dhaba,Allahabad,24,Naini,North Indian,400,Rs.,2000,NaN,0,Yes,NaN
Kallu Kachouri Bhandar,Allahabad,24,Katra,Street Food,100,Rs.,1000,Good,45,No,3.7
Khansama Non-Veg,Allahabad,24,Civil Lines,Mughlai,200,Rs.,1000,Good,26,Yes,3.6
Shri Sai Fruit Ice Cream,Allahabad,24,Dhoomanganj,"Ice Cream, Desserts",100,Rs.,1000,Average,14,Yes,3
Kesarwani Chaat,Allahabad,24,Katra,"Street Food, North Indian, Fast Food",100,Rs.,1000,Average,5,Yes,3
Cool Point,Allahabad,24,Civil Lines,Drinks Only,150,Rs.,1000,NaN,1,Yes,NaN
Hot & juicy,Allahabad,24,Civil Lines,Street Food,100,Rs.,1000,NaN,1,Yes,NaN
Delight The Pastry Shop,Allahabad,24,Kareli,"Bakery, Desserts",200,Rs.,1000,Very Good,50,No,4.1
Shubhi's Bake A Wish,Allahabad,24,George Town,"Desserts, Bakery",300,Rs.,2000,NaN,1,Yes,NaN
fnpCakes ‘n’ more,Allahabad,24,Civil Lines,Bakery,250,Rs.,2000,Good,31,No,3.7
Delight Muffins,Allahabad,24,Dhoomanganj,"Bakery, Desserts",150,Rs.,1000,Average,13,No,3.4
Pawan Namkeen & Bakers,Allahabad,24,Chowk,Bakery,100,Rs.,1000,Average,22,No,3
JK Bakers,Allahabad,24,Katra,Bakery,200,Rs.,1000,Good,21,No,3.6
Top-In-Town Baker's,Allahabad,24,Lukerganj,Bakery,300,Rs.,2000,Average,9,No,3.1
Occasion,Allahabad,24,Katra,"Burger, Sandwich, Bakery, Desserts",150,Rs.,1000,Average,14,Yes,3.4
Route o Bakers,Allahabad,24,Civil Lines,Bakery,300,Rs.,2000,Average,12,No,3.3
Mamta Bakery,Allahabad,24,Dhoomanganj,"Bakery, Desserts",250,Rs.,2000,Average,18,Yes,3.3
Best Bakery,Allahabad,24,Lukerganj,Bakery,150,Rs.,1000,Average,14,No,3.4
The Hunt Bakers,Allahabad,24,Naini,"Bakery, Desserts",150,Rs.,1000,Average,10,No,2.9
Statesman House,Allahabad,24,Rambagh,"Bakery, Ice Cream",200,Rs.,1000,NaN,3,No,NaN
Route O Bakers,Allahabad,24,Kareli,Bakery,300,Rs.,2000,Average,5,No,3
Lallu Baker's Hut,Allahabad,24,Naini,Bakery,300,Rs.,2000,NaN,3,Yes,NaN
Route O Bakers,Allahabad,24,Dhoomanganj,Bakery,300,Rs.,2000,Average,5,Yes,3
Kunj Paneer Kendra The Cake Palace,Allahabad,24,Katra,"Bakery, Desserts",100,Rs.,1000,NaN,0,No,NaN
Bakers Bakery,Allahabad,24,Kareli,Bakery,350,Rs.,2000,NaN,3,Yes,NaN
Choco Pain,Allahabad,24,Naini,Bakery,150,Rs.,1000,NaN,3,Yes,NaN
Lallu Baker's Hut,Allahabad,24,Kareli,Bakery,300,Rs.,2000,NaN,0,Yes,NaN
Sudha Bakers,Allahabad,24,Teliarganj,Bakery,300,Rs.,2000,NaN,0,No,NaN
Barcode,Allahabad,24,Civil Lines,"Biryani, North Indian, Finger Food",1400,Rs.,4000,Average,159,Yes,3.4
Fire at Night,Allahabad,24,Civil Lines,Finger Food,700,Rs.,3000,Good,75,No,3.8
Ten 11,Allahabad,24,Naini,"North Indian, Chinese",500,Rs.,3000,Average,4,Yes,3.1
Leisure - Sky Lounge,Allahabad,24,Civil Lines,"North Indian, South Indian, Fast Food",800,Rs.,3000,NaN,2,Yes,NaN
The Mist Houkh Lounge,Allahabad,24,Civil Lines,"Chinese, Fast Food, North Indian",0,Rs.,1000,NaN,2,Yes,NaN
The Mist,Allahabad,24,Naini,"North Indian, Chinese",0,Rs.,1000,NaN,1,Yes,NaN
Keventers,Allahabad,24,Civil Lines,"Beverages, Desserts, Ice Cream",400,Rs.,2000,Very Good,113,No,4.3
A & J The Juice Bar,Allahabad,24,Civil Lines,Juices,250,Rs.,2000,Good,21,Yes,3.7
Made With More,Allahabad,24,Civil Lines,Ice Cream,200,Rs.,1000,Average,14,No,3.3
New Prayag Juice Corner,Allahabad,24,Rajrooppur,Juices,200,Rs.,1000,Average,18,Yes,3.4
Pahalwan Juice Stuff,Allahabad,24,Kareli,Beverages,150,Rs.,1000,Good,21,No,3.8
Raja Ram Lassi Wale,Allahabad,24,Meergunj,Beverages,100,Rs.,1000,Good,28,No,3.9
Chai Onn,Allahabad,24,Kareli,"Beverages, Coffee, Fast Food",300,Rs.,2000,Average,12,No,3.2
Pahalwan Juice Stuff,Allahabad,24,Naini,Beverages,100,Rs.,1000,Good,16,No,3.6
Pahalwan Juice Stuff,Allahabad,24,Kareli,Juices,200,Rs.,1000,Good,19,Yes,3.7
Juice Stuff,Allahabad,24,Naini,"Beverages, Juices",150,Rs.,1000,Average,10,Yes,3.4
Blackout Juice Corner,Allahabad,24,Teliarganj,"Juices, Beverages",150,Rs.,1000,Average,11,Yes,2.9
Best Lassi House,Allahabad,24,Kareli,Beverages,100,Rs.,1000,Average,4,Yes,3
Free Time,Allahabad,24,Civil Lines,"Beverages, Juices, Chinese",100,Rs.,1000,NaN,2,Yes,NaN
Lee Stanza Spicy Hub,Allahabad,24,Civil Lines,Beverages,150,Rs.,1000,Average,4,No,2.9
Fresh Up Fruits And Juice Cafe,Allahabad,24,George Town,Juices,100,Rs.,1000,NaN,3,Yes,NaN
A2A Cafe Cum Restaurant,Allahabad,24,Civil Lines,"Beverages, Fast Food",200,Rs.,1000,NaN,2,Yes,NaN
Shri Raunak Fruit & Juice Corner,Allahabad,24,Dhoomanganj,"Beverages, Healthy Food",100,Rs.,1000,NaN,1,Yes,NaN
Dev Fruit Juice World,Allahabad,24,Civil Lines,"Juices, Beverages, Desserts",100,Rs.,1000,NaN,0,Yes,NaN
Raju Chicken Shop,Allahabad,24,Civil Lines,Raw Meats,600,Rs.,3000,Good,26,Yes,3.5
South Mouth,Allahabad,24,"Vinayak City Centre Mall, Civil Lines",South Indian,500,Rs.,3000,Average,11,No,3.2
Punjabi Tadka,Allahabad,24,"Vinayak City Centre Mall, Civil Lines",North Indian,500,Rs.,3000,Average,8,No,3.1
Little China,Allahabad,24,"Vinayak City Centre Mall, Civil Lines",Chinese,500,Rs.,3000,NaN,3,No,NaN
Fire On Ice,Allahabad,24,Bairahana,Chinese,250,Rs.,2000,NaN,3,Yes,NaN
Streets of India,Allahabad,24,"Vinayak City Centre Mall, Civil Lines",Street Food,200,Rs.,1000,NaN,0,No,NaN
Mr. Oven,Allahabad,24,"Vinayak City Centre Mall, Civil Lines","Mexican, Italian",400,Rs.,2000,NaN,2,No,NaN
Splash,Allahabad,24,"Vinayak City Centre Mall, Civil Lines",Beverages,250,Rs.,2000,NaN,0,Yes,NaN
Jassi's Snacks On Wheels,Allahabad,24,Katra,"Fast Food, Street Food",200,Rs.,1000,NaN,2,Yes,NaN
Desi Tadka,Allahabad,24,Alopi Bagh,"Chinese, Fast Food",200,Rs.,1000,NaN,1,Yes,NaN
Go 4 Food,Allahabad,24,Lukerganj,Fast Food,200,Rs.,1000,NaN,1,Yes,NaN
Sophiya Laurance Betal Shop,Allahabad,24,Chowk,Paan,100,Rs.,1000,NaN,1,Yes,NaN
Sophiya Laurance Betal Shop,Allahabad,24,Civil Lines,Paan,100,Rs.,1000,NaN,0,Yes,NaN
Eat On,Allahabad,24,Civil Lines,North Indian,200,Rs.,1000,Excellent,3701,No,4.8
KFC,Allahabad,24,Civil Lines,"Burger, Fast Food",450,Rs.,2000,Very Good,596,Yes,4.3
7th Heaven,Allahabad,24,Civil Lines,"Bakery, Italian, Continental, Desserts",400,Rs.,2000,Very Good,142,No,4
Sagar Ratna,Allahabad,24,Tagore Town,"South Indian, North Indian, Chinese, Continental",600,Rs.,3000,Excellent,758,No,4.5
Pizza Hut,Allahabad,24,Civil Lines,"Pizza, Fast Food, Italian",700,Rs.,3000,Very Good,748,No,4.1
Domino's Pizza,Allahabad,24,Civil Lines,"Pizza, Fast Food",400,Rs.,2000,Good,699,Yes,3.9
Haldiram Bhujiawala,Allahabad,24,Civil Lines,"North Indian, Fast Food, Street Food, South Indian, Chinese",700,Rs.,3000,Very Good,429,No,4.2
Domino's Pizza,Allahabad,24,Civil Lines,"Pizza, Fast Food",400,Rs.,2000,Good,594,Yes,3.9
EDEN by Connoisseur,Allahabad,24,Civil Lines,"North Indian, Chinese, Continental",1000,Rs.,4000,Excellent,163,Yes,4.6
Old School Cafe,Allahabad,24,Civil Lines,"Cafe, North Indian, Continental, Chinese, Thai, Burger",1000,Rs.,4000,Very Good,410,No,4.4
Mr. Dewsis,Allahabad,24,Civil Lines,"North Indian, Chinese, Pizza, Sandwich, Beverages",500,Rs.,3000,Very Good,576,No,4.1
Hot n Cool,Allahabad,24,Colonel Ganj,"Rolls, Fast Food, Pizza, Burger, Sandwich, Wraps, Beverages",450,Rs.,2000,Very Good,418,No,4.1
Pind Balluchi,Allahabad,24,Civil Lines,"North Indian, Mughlai",1000,Rs.,4000,Very Good,368,No,4.3
El Chico Restaurant,Allahabad,24,Civil Lines,"Continental, North Indian, Chinese",800,Rs.,3000,Excellent,540,No,4.5
Barbeque Nation,Allahabad,24,Civil Lines,"North Indian, Mediterranean",1200,Rs.,4000,Excellent,339,Yes,4.7
Aryan Family's Delight,Allahabad,24,Civil Lines,"North Indian, South Indian, Fast Food",500,Rs.,3000,Very Good,368,No,4.3
Paradise,Allahabad,24,Civil Lines,"Desserts, Fast Food",500,Rs.,3000,Very Good,268,No,4.3
Chicago Pizza,Allahabad,24,Civil Lines,"Pizza, Beverages",400,Rs.,2000,Very Good,359,Yes,4.1
Hot Stuff,Allahabad,24,Civil Lines,"North Indian, Fast Food",500,Rs.,3000,Very Good,309,No,4.1
Black Out Restaurant,Allahabad,24,Teliarganj,"North Indian, Chinese",500,Rs.,3000,Good,307,No,3.9
Well Bean Cafe,Allahabad,24,Civil Lines,Cafe,500,Rs.,3000,Very Good,332,Yes,4.4
Tandoor Restaurant,Allahabad,24,Civil Lines,"North Indian, Chinese",500,Rs.,3000,Average,409,No,3.4
AL-Baik Zone,Allahabad,24,Kareli,"North Indian, Fast Food",300,Rs.,2000,Very Good,219,No,4.4
Paradise Confectioner,Allahabad,24,Tagore Town,"Fast Food, Desserts",500,Rs.,3000,Very Good,194,No,4.4
SCORE - The Games Cafe,Allahabad,24,Civil Lines,"Cafe, Desserts, Beverages",200,Rs.,1000,Very Good,361,No,4.3
Zaika Biryani Ka,Allahabad,24,Colonel Ganj,"Biryani, North Indian, Rolls",200,Rs.,1000,Very Good,211,Yes,4
Nainital Momos,Allahabad,24,Civil Lines,"Momos, Beverages",400,Rs.,2000,Very Good,179,No,4
Raju Kitchen Restaurant,Allahabad,24,Civil Lines,"North Indian, Chinese",400,Rs.,2000,Very Good,265,No,4
Cafe El Chico,Allahabad,24,Civil Lines,"Cafe, Italian, Continental",1000,Rs.,4000,Very Good,252,No,4.4
Shree Kanha Sweets & Restaurant,Allahabad,24,George Town,"Mithai, North Indian, Street Food",500,Rs.,3000,Very Good,198,No,4.2
The Tamarind Tree,Allahabad,24,Civil Lines,"South Indian, Chinese",500,Rs.,3000,Very Good,264,No,4
Bikanerwala,Allahabad,24,Civil Lines,"North Indian, Street Food, Fast Food",500,Rs.,3000,Very Good,273,Yes,4.2
Hot n Cool,Allahabad,24,Naini,"Pizza, Sandwich, Burger, Fast Food",300,Rs.,2000,Very Good,229,No,4.1
Malt,Allahabad,24,Ashok Nagar,"Cafe, Beverages, Bakery",300,Rs.,2000,Excellent,305,No,4.5
Makkhan's Restaurant,Allahabad,24,Dhoomanganj,"North Indian, South Indian, Chinese, Fast Food",450,Rs.,2000,Very Good,340,Yes,4
Rolls Mania,Allahabad,24,Ashok Nagar,"Rolls, Fast Food",450,Rs.,2000,Very Good,163,No,4.1
Coffee Machine The Cafe,Allahabad,24,Civil Lines,"Italian, Continental, Beverages",250,Rs.,2000,Very Good,100,No,4.2
Baba Biryani,Allahabad,24,Civil Lines,"Biryani, Mughlai",500,Rs.,3000,Good,235,Yes,3.5
Chhappan Bhog,Allahabad,24,Katra,"North Indian, South Indian, Chinese",600,Rs.,3000,Good,209,No,3.8
Bean Here,Allahabad,24,Civil Lines,"Cafe, Fast Food",350,Rs.,2000,Good,189,No,3.9
Higgins IX C1,Allahabad,24,Naini,"North Indian, Mughlai",600,Rs.,3000,Very Good,158,No,4
Makkhan's,Allahabad,24,Civil Lines,North Indian,1000,Rs.,4000,Very Good,126,No,4.2
Prayag Food Plaza,Allahabad,24,George Town,Chinese,300,Rs.,2000,Very Good,146,Yes,4.2
Allahabad Kabab Paratha,Allahabad,24,Kareli,Mughlai,600,Rs.,3000,Very Good,128,Yes,4.2
BrewBakes,Allahabad,24,Civil Lines,Cafe,500,Rs.,3000,Good,118,No,3.8
El Chico Pastry Shop,Allahabad,24,Civil Lines,Desserts,300,Rs.,2000,Very Good,110,No,4.3
Rajwada's,Allahabad,24,Colonel Ganj,"North Indian, South Indian, Chinese, Fast Food",450,Rs.,2000,Good,141,No,3.9
The Second Wife,Allahabad,24,George Town,North Indian,500,Rs.,3000,Average,151,No,3.4
Kalptaru Sweets N Bakery,Allahabad,24,Lukerganj,"Fast Food, North Indian, Continental, Beverages, Mithai",450,Rs.,2000,Very Good,155,No,4
9280 The Family Restaurant,Allahabad,24,Civil Lines,North Indian,600,Rs.,3000,Very Good,197,No,4
Barcode,Allahabad,24,Civil Lines,"Biryani, North Indian, Finger Food",1400,Rs.,4000,Average,159,Yes,3.4
Moti Mahal Delux,Allahabad,24,"Vinayak City Centre Mall, Civil Lines","Mughlai, North Indian, Chinese",850,Rs.,3000,Very Good,186,No,4.1
Subway,Allahabad,24,Civil Lines,"Fast Food, Healthy Food, Sandwich, Salad",350,Rs.,2000,Very Good,208,Yes,4
Celebrations,Allahabad,24,Civil Lines,"North Indian, Chinese, Continental",300,Rs.,2000,Good,176,No,3.9
Dosa Plaza,Allahabad,24,Civil Lines,South Indian,400,Rs.,2000,Very Good,193,Yes,4.1
Moti Mahal Delux Tandoori Trail,Allahabad,24,Civil Lines,"Mughlai, North Indian, Chinese, South Indian",800,Rs.,3000,Good,121,No,3.8
Old Town,Allahabad,24,Civil Lines,"North Indian, Chinese",500,Rs.,3000,Good,108,No,3.7
Guru Kripa Bhojnalaya,Allahabad,24,Dhoomanganj,North Indian,150,Rs.,1000,Average,59,Yes,2.7
Kamdhenu,Allahabad,24,Civil Lines,Mithai,400,Rs.,2000,Very Good,169,Yes,4.1
The Pantry Car,Allahabad,24,Civil Lines,"Chinese, Continental, Momos",300,Rs.,2000,Very Good,113,Yes,4
Kaffe Kona,Allahabad,24,Naini,Cafe,400,Rs.,2000,Very Good,97,Yes,4.2
Checkers Pizza & Shawarma,Allahabad,24,Kareli,"Pizza, Fast Food",300,Rs.,2000,Good,105,No,3.8
Hyderabadi Biryani,Allahabad,24,Civil Lines,"North Indian, Mughlai, Biryani",400,Rs.,2000,Very Good,113,Yes,4
Kamdhenu Sweets,Allahabad,24,Civil Lines,Desserts,400,Rs.,2000,Very Good,143,Yes,4.2
Shamiana's,Allahabad,24,Civil Lines,North Indian,300,Rs.,2000,Good,132,No,3.7
Dilli Galiyara,Allahabad,24,"Vinayak City Centre Mall, Civil Lines","North Indian, South Indian, Chinese",800,Rs.,3000,Good,114,No,3.5
Indish,Allahabad,24,Civil Lines,"North Indian, South Indian, Chinese, Continental, Fast Food, Sandwich",500,Rs.,3000,Average,99,Yes,3.2
Jaiswal Dosa Corner,Allahabad,24,George Town,South Indian,150,Rs.,1000,Very Good,114,No,4.1
Jai Shri Shankar Bhojnalaya,Allahabad,24,Civil Lines,North Indian,300,Rs.,2000,Good,138,No,3.8
The Vintage Kitchen,Allahabad,24,Lukerganj,"North Indian, Chinese, Fast Food",500,Rs.,3000,Excellent,48,No,4.7
Aroma,Allahabad,24,Civil Lines,"Mughlai, North Indian",500,Rs.,3000,Very Good,121,No,4
Andeywala,Allahabad,24,Chowk,Fast Food,200,Rs.,1000,Good,104,No,3.8
Keventers,Allahabad,24,Civil Lines,"Beverages, Desserts, Ice Cream",400,Rs.,2000,Very Good,113,No,4.3
Bean Here,Allahabad,24,Ashok Nagar,"Cafe, Fast Food",350,Rs.,2000,Good,82,No,3.8
Gola Sizzlers,Allahabad,24,Civil Lines,"North Indian, Chinese, Continental",1000,Rs.,4000,Good,42,No,3.8
U S PIZZA,Allahabad,24,Katra,"Pizza, Salad, Desserts",400,Rs.,2000,Average,83,No,3.3
Dosa Plaza,Allahabad,24,Katra,"North Indian, Chinese, Beverages",500,Rs.,3000,Average,103,No,3.2
Kathi Express,Allahabad,24,Colonel Ganj,North Indian,200,Rs.,1000,Good,105,No,3.9
Allahabad Biryani Centre,Allahabad,24,Civil Lines,"Biryani, Mughlai",400,Rs.,2000,Good,173,Yes,3.8
Maharani Zaika,Allahabad,24,George Town,North Indian,500,Rs.,3000,Good,128,No,3.9
Chill Lounge,Allahabad,24,Civil Lines,"North Indian, South Indian, Chinese, Continental",800,Rs.,3000,Good,96,Yes,3.6
The London Shakes And Cafe,Allahabad,24,Civil Lines,"Pizza, Fast Food, Beverages",300,Rs.,2000,Good,89,No,3.9
Daana Pani Restaurant,Allahabad,24,Dhoomanganj,North Indian,250,Rs.,2000,Average,107,Yes,2.8
Hotel Ravisha Continental,Allahabad,24,Civil Lines,"North Indian, South Indian, Chinese",600,Rs.,3000,Very Good,80,No,4
Reserveseats,Allahabad,24,Katra,"North Indian, South Indian, Chinese",700,Rs.,3000,Good,103,No,3.8
Balaji Idli House,Allahabad,24,Tagore Town,"South Indian, North Indian",500,Rs.,3000,Good,99,No,3.8
Fire at Night,Allahabad,24,Civil Lines,Finger Food,700,Rs.,3000,Good,75,No,3.8
Dosa Plaza,Allahabad,24,Civil Lines,"North Indian, Chinese, Beverages",500,Rs.,3000,Good,111,Yes,3.9
Bliss Restro,Allahabad,24,Naini,"North Indian, Chinese",500,Rs.,3000,Good,94,No,3.8
Shahi Darbar Restaurant,Allahabad,24,Civil Lines,"North Indian, Chinese, Beverages",450,Rs.,2000,Good,95,No,3.6
Yolo China,Allahabad,24,Katra,"Chinese, Fast Food",200,Rs.,1000,Good,43,No,3.9
Cafe Ballon D'OR,Allahabad,24,Naini,"Cafe, Fast Food",500,Rs.,3000,Good,80,No,3.8
Millennium Restaurant,Allahabad,24,Teliarganj,"North Indian, Fast Food",300,Rs.,2000,Good,76,No,3.6
Shri Gupta Masala Dosa,Allahabad,24,Naini,South Indian,150,Rs.,1000,Good,68,Yes,3.7
Shalimar Restaurant,Allahabad,24,Leader Road,North Indian,450,Rs.,2000,Very Good,76,No,4
Sunil Chinese & Fast Food,Allahabad,24,Naini,"Fast Food, Chinese",100,Rs.,1000,Good,47,Yes,3.5
Busy Bee Restro,Allahabad,24,Naini,"Chinese, North Indian, Continental, Beverages",700,Rs.,3000,Good,68,No,3.7
Khana Khazana Restaurant & Cafe,Allahabad,24,Civil Lines,"North Indian, Chinese, Mughlai",450,Rs.,2000,Good,58,Yes,3.9
Harish Bhojanalaya & Restaurant,Allahabad,24,Civil Lines,Fast Food,300,Rs.,2000,Good,112,No,3.7
Apne Budget Main,Allahabad,24,Civil Lines,Fast Food,100,Rs.,1000,Good,42,No,3.7
7th Heaven,Allahabad,24,Civil Lines,"Bakery, Italian, Continental, Desserts",400,Rs.,2000,Very Good,142,No,4
Sagar Ratna,Allahabad,24,Tagore Town,"South Indian, North Indian, Chinese, Continental",600,Rs.,3000,Excellent,758,No,4.5
Pizza Hut,Allahabad,24,Civil Lines,"Pizza, Fast Food, Italian",700,Rs.,3000,Very Good,748,No,4.1
Haldiram Bhujiawala,Allahabad,24,Civil Lines,"North Indian, Fast Food, Street Food, South Indian, Chinese",700,Rs.,3000,Very Good,429,No,4.2
EDEN by Connoisseur,Allahabad,24,Civil Lines,"North Indian, Chinese, Continental",1000,Rs.,4000,Excellent,163,Yes,4.6
Old School Cafe,Allahabad,24,Civil Lines,"Cafe, North Indian, Continental, Chinese, Thai, Burger",1000,Rs.,4000,Very Good,410,No,4.4
Mr. Dewsis,Allahabad,24,Civil Lines,"North Indian, Chinese, Pizza, Sandwich, Beverages",500,Rs.,3000,Very Good,576,No,4.1
Pind Balluchi,Allahabad,24,Civil Lines,"North Indian, Mughlai",1000,Rs.,4000,Very Good,368,No,4.3
El Chico Restaurant,Allahabad,24,Civil Lines,"Continental, North Indian, Chinese",800,Rs.,3000,Excellent,540,No,4.5
Barbeque Nation,Allahabad,24,Civil Lines,"North Indian, Mediterranean",1200,Rs.,4000,Excellent,339,Yes,4.7
Aryan Family's Delight,Allahabad,24,Civil Lines,"North Indian, South Indian, Fast Food",500,Rs.,3000,Very Good,368,No,4.3
Hot Stuff,Allahabad,24,Civil Lines,"North Indian, Fast Food",500,Rs.,3000,Very Good,309,No,4.1
Black Out Restaurant,Allahabad,24,Teliarganj,"North Indian, Chinese",500,Rs.,3000,Good,307,No,3.9
Well Bean Cafe,Allahabad,24,Civil Lines,Cafe,500,Rs.,3000,Very Good,332,Yes,4.4
Tandoor Restaurant,Allahabad,24,Civil Lines,"North Indian, Chinese",500,Rs.,3000,Average,409,No,3.4
SCORE - The Games Cafe,Allahabad,24,Civil Lines,"Cafe, Desserts, Beverages",200,Rs.,1000,Very Good,361,No,4.3
KFC,Allahabad,24,Civil Lines,"Burger, Fast Food",450,Rs.,2000,Very Good,596,Yes,4.3
Raju Kitchen Restaurant,Allahabad,24,Civil Lines,"North Indian, Chinese",400,Rs.,2000,Very Good,265,No,4
Cafe El Chico,Allahabad,24,Civil Lines,"Cafe, Italian, Continental",1000,Rs.,4000,Very Good,252,No,4.4
Domino's Pizza,Allahabad,24,Civil Lines,"Pizza, Fast Food",400,Rs.,2000,Good,699,Yes,3.9
The Tamarind Tree,Allahabad,24,Civil Lines,"South Indian, Chinese",500,Rs.,3000,Very Good,264,Yes,4
Bikanerwala,Allahabad,24,Civil Lines,"North Indian, Street Food, Fast Food",500,Rs.,3000,Very Good,273,Yes,4.2
Makkhan's Restaurant,Allahabad,24,Dhoomanganj,"North Indian, South Indian, Chinese, Fast Food",450,Rs.,2000,Very Good,340,Yes,4
Domino's Pizza,Allahabad,24,Civil Lines,"Pizza, Fast Food",400,Rs.,2000,Good,594,Yes,3.9
Baba Biryani,Allahabad,24,Civil Lines,"Biryani, Mughlai",500,Rs.,3000,Good,235,Yes,3.5
Chhappan Bhog,Allahabad,24,Katra,"North Indian, South Indian, Chinese",600,Rs.,3000,Good,209,Yes,3.8
Hot n Cool,Allahabad,24,Colonel Ganj,"Rolls, Fast Food, Pizza, Burger, Sandwich, Wraps, Beverages",450,Rs.,2000,Very Good,418,No,4.1
Bean Here,Allahabad,24,Civil Lines,"Cafe, Fast Food",350,Rs.,2000,Good,189,Yes,3.9
Higgins IX C1,Allahabad,24,Naini,"North Indian, Mughlai",600,Rs.,3000,Very Good,158,No,4
Makkhan's,Allahabad,24,Civil Lines,North Indian,1000,Rs.,4000,Very Good,126,No,4.2
Chicago Pizza,Allahabad,24,Civil Lines,"Pizza, Beverages",400,Rs.,2000,Very Good,359,Yes,4.1
AL-Baik Zone,Allahabad,24,Kareli,"North Indian, Fast Food",300,Rs.,2000,Very Good,219,Yes,4.4
Rajwada's,Allahabad,24,Colonel Ganj,"North Indian, South Indian, Chinese, Fast Food",450,Rs.,2000,Good,141,No,3.9
Cafe BigBoxx,Allahabad,24,Civil Lines,"Indian, Continental",600,Rs.,3000,Very Good,131,Yes,4.1
The Second Wife,Allahabad,24,George Town,North Indian,500,Rs.,3000,Average,151,No,3.4
Paradise Confectioner,Allahabad,24,Tagore Town,"Fast Food, Desserts",500,Rs.,3000,Very Good,194,Yes,4.4
Zaika Biryani Ka,Allahabad,24,Colonel Ganj,"Biryani, North Indian, Rolls",200,Rs.,1000,Very Good,211,Yes,4
9280 The Family Restaurant,Allahabad,24,Civil Lines,North Indian,600,Rs.,3000,Very Good,197,No,4
Nainital Momos,Allahabad,24,Civil Lines,"Momos, Beverages",400,Rs.,2000,Very Good,179,Yes,4
Moti Mahal Delux,Allahabad,24,"Vinayak City Centre Mall, Civil Lines","Mughlai, North Indian, Chinese",850,Rs.,3000,Very Good,186,No,4.1
Celebrations,Allahabad,24,Civil Lines,"North Indian, Chinese, Continental",300,Rs.,2000,Good,176,No,3.9
Shree Kanha Sweets & Restaurant,Allahabad,24,George Town,"Mithai, North Indian, Street Food",500,Rs.,3000,Very Good,198,No,4.2
Hot n Cool,Allahabad,24,Naini,"Pizza, Sandwich, Burger, Fast Food",300,Rs.,2000,Very Good,229,No,4.1
Rolls Mania,Allahabad,24,Ashok Nagar,"Rolls, Fast Food",450,Rs.,2000,Very Good,163,No,4.1
Coffee Machine The Cafe,Allahabad,24,Civil Lines,"Italian, Continental, Beverages",250,Rs.,2000,Very Good,100,No,4.2
Dosa Plaza,Allahabad,24,Civil Lines,South Indian,400,Rs.,2000,Very Good,193,Yes,4.1
Moti Mahal Delux Tandoori Trail,Allahabad,24,Civil Lines,"Mughlai, North Indian, Chinese, South Indian",800,Rs.,3000,Good,121,No,3.8
Old Town,Allahabad,24,Civil Lines,"North Indian, Chinese",500,Rs.,3000,Good,108,No,3.7
Guru Kripa Bhojnalaya,Allahabad,24,Dhoomanganj,North Indian,150,Rs.,1000,Average,59,Yes,2.7
Kamdhenu,Allahabad,24,Civil Lines,Mithai,400,Rs.,2000,Very Good,169,Yes,4.1
Kaffe Kona,Allahabad,24,Naini,Cafe,400,Rs.,2000,Very Good,97,Yes,4.2
Allahabad Kabab Paratha,Allahabad,24,Kareli,Mughlai,600,Rs.,3000,Very Good,128,Yes,4.2
Spicy Bite,Allahabad,24,Civil Lines,North Indian,400,Rs.,2000,Very Good,201,Yes,4.2
Kalptaru Sweets N Bakery,Allahabad,24,Lukerganj,"Fast Food, North Indian, Continental, Beverages, Mithai",450,Rs.,2000,Very Good,155,No,4
Subway,Allahabad,24,Civil Lines,"Fast Food, Healthy Food, Sandwich, Salad",350,Rs.,2000,Very Good,208,Yes,4
Coffee Calling,Allahabad,24,Civil Lines,Cafe,400,Rs.,2000,Good,127,Yes,3.9
Shamiana's,Allahabad,24,Civil Lines,North Indian,300,Rs.,2000,Good,132,No,3.7
Dilli Galiyara,Allahabad,24,"Vinayak City Centre Mall, Civil Lines","North Indian, South Indian, Chinese",800,Rs.,3000,Good,114,No,3.5
Indish,Allahabad,24,Civil Lines,"North Indian, South Indian, Chinese, Continental, Fast Food, Sandwich",500,Rs.,3000,Average,99,Yes,3.2
Jai Shri Shankar Bhojnalaya,Allahabad,24,Civil Lines,North Indian,300,Rs.,2000,Good,138,No,3.8
The Vintage Kitchen,Allahabad,24,Lukerganj,"North Indian, Chinese, Fast Food",500,Rs.,3000,Excellent,48,No,4.7
Bean Here,Allahabad,24,Ashok Nagar,"Cafe, Fast Food",350,Rs.,2000,Good,82,No,3.8
The Pantry Car,Allahabad,24,Civil Lines,"Chinese, Continental, Momos",300,Rs.,2000,Very Good,113,Yes,4
Gay Time Family Restaurant,Allahabad,24,Civil Lines,"North Indian, South Indian, Chinese, Fast Food",500,Rs.,3000,Good,170,Yes,3.7
Gola Sizzlers,Allahabad,24,Civil Lines,"North Indian, Chinese, Continental",1000,Rs.,4000,Good,42,No,3.8
